review,rating
not working,1
very nice,5
बहुत ही घटिया और गंदा ओला ऐप है या एक भी बुकिंग एक्सेप्ट नहीं होता हजार बुकिंग इसमेंबचता है लेकिनएक भी,1
"Why does it need contacts permission when no other driver apps are asking this permission. It's not needed for driver apps, so I'm uninstalling this app.",1
price problam,1
nice apps rellay money💸💸💸💸,5
Kay faltu update Kiya he aaplo ne koi trip accept nahi ho raha he 100 ka trip accept ho raha our 1000 ka sirf dikh rha he our another driver accepted likhe aarahe he recharge karke 1 hour huva aabhi tak booking nahi,1
rate Sahi nahin Hai iske,1
एक नंबर भिकारी अँप आहे....,1
एप्लीकेशन update होने के बाद तो बुकिंग और नहीं उठ रही है,1
mast,5
"don't join this company totally fake lk,l working . Jaffa customer care service money not transfer your account totally drinker s company",1
ok,5
new update bhot kharab hy sab 1 star reting kro ola ka,1
duniya Ki Sabse Badi ek number per aane wali chor company hai Ola driver logon Ko todne refund karte aur na to Koi customer support driver ko bilkul support nahin Hai,1
bad sarvesh,2
not getting one duty also after payment 150rs pass car in not showing in ola customer app,1
low price,1
waste application 1 hour order fake orders,1
super earnings,5
unable to login error msg came please complete previous trip 😞,1
sir booking nahi ud pa raha hai sir,5
"There is a problem in accepting the ride in the Ola app and after completing the ride, for example, if the vehicle has driven 10 kilometers, then the Ola bill comes for 8 kilometers, due to which we drivers suffer loss and the pickup location It is too much, minimum three to four kilometers of pickup is included in every ride.Ola should fix this problem.",5
ride nhi aati hai agar aati hai to accept nhi hoti hai,1
chor company,1
not sign up,2
"ola app owner plz do font size big because we can see clearly , do on the next update 😡😡",1
good 👍,5
App not ಗುಡ್ old super,1
old version good new waste,1
good,5
cheap trip,1
gh,5
seriously is worst app no help no customer care,5
Ride utte hi nahi hai bekar app hai,1
order Sarai barala idhu thumba West idu thumba fake app,1
Bhada Nahin Aata Hai,1
all ok,1
"For distances between 1.5 and 2.00 kilometers, an additional charge of ₹ 15/25 will be charged for emptying the autorickshaw..",1
good,5
